BJD,AIRMASS,SKY,TFLUX,CFLUX1,CFLUX2,CFLUX3,CFLUX4,CFLUX5
   9014.755510, 1.449,  2814.0,    111256.2,    303000.3,    295049.5,    207025.8,    269187.2,    121449.1
   9014.757185, 1.451,  2583.0,    112159.2,    307057.2,    297887.9,    210225.7,    272500.3,    121526.2
   9014.758881, 1.454,  2429.0,    117008.8,    318149.7,    307876.3,    218448.9,    282706.8,    127703.3
   9014.762245, 1.459,  2177.0,    117743.3,    323604.8,    312760.7,    220618.8,    287074.1,    128771.2
   9014.763937, 1.461,  2025.0,    118903.2,    322285.8,    314058.8,    220156.5,    286838.6,    129925.0
   9014.765613, 1.464,  1904.0,    119269.6,    328191.7,    317149.9,    223586.0,    290714.5,    131042.9
   9014.767289, 1.467,  1759.0,    118055.0,    323421.8,    311212.2,    218229.0,    286569.7,    128133.3
   9014.768964, 1.470,  1641.0,    121308.4,    329526.8,    318513.4,    224571.0,    291704.1,    132195.7
   9014.770642, 1.473,  1543.0,    121512.8,    334258.1,    323766.7,    226784.2,    294382.7,    132576.8
   9014.772318, 1.475,  1440.0,    122767.2,    333701.7,    322893.4,    228870.2,    295693.2,    132327.3
   9014.773993, 1.478,  1342.0,    122797.0,    334354.0,    324305.1,    227106.0,    295397.3,    133217.6
   9014.775668, 1.481,  1252.0,    118699.8,    326092.5,    314897.2,    223764.8,    291835.8,    130005.2
   9014.777356, 1.485,  1167.0,    118085.7,    324197.5,    314232.6,    221485.9,    287826.4,    129177.4
   9014.779036, 1.488,  1075.0,    120240.0,    326411.8,    317462.2,    223206.7,    290673.9,    129990.9
   9014.780718, 1.491,   994.0,    120706.7,    331781.2,    320918.5,    227048.3,    294527.3,    131911.4
   9014.782397, 1.494,   925.0,    122199.0,    334314.3,    324976.8,    227884.6,    296339.8,    133966.8
   9014.784073, 1.498,   860.0,    120872.5,    331442.4,    320436.8,    226797.5,    294251.2,    131823.8
   9014.785758, 1.501,   802.0,    121824.7,    332611.2,    324417.5,    227871.4,    294707.8,    133039.2
   9014.787441, 1.504,   747.0,    120448.5,    329881.4,    320382.5,    225579.6,    292050.4,    131909.0
   9014.789120, 1.508,   696.0,    121496.0,    330831.6,    321623.7,    226819.2,    292404.6,    131454.5
   9014.790794, 1.511,   655.0,    120177.2,    329122.7,    317998.8,    223622.4,    289803.9,    130126.9
   9014.792471, 1.515,   599.0,    117783.7,    322462.1,    310746.2,    219595.4,    286114.4,    128708.7
   9014.794148, 1.519,   558.0,    105360.0,    286078.7,    279038.6,    196157.5,    257131.3,    115236.4
   9014.795822, 1.522,   520.0,    111975.8,    302129.2,    292947.0,    206612.9,    268723.5,    119777.9
   9014.797496, 1.526,   487.0,    110444.8,    300996.6,    292325.8,    205610.9,    268011.3,    120063.4
   9014.799170, 1.530,   464.0,    117321.3,    321810.1,    311452.0,    219535.0,    286341.8,    128876.5
   9014.800851, 1.534,   426.0,    122776.9,    335967.3,    325794.6,    228925.0,    297436.8,    133383.1
   9014.802529, 1.538,   398.0,    121678.5,    332629.5,    323311.0,    227301.4,    295067.8,    132387.7
   9014.804204, 1.542,   370.0,    121218.4,    331062.3,    321324.9,    226227.2,    293637.6,    131232.0
   9014.805880, 1.546,   351.0,    117568.0,    322648.8,    314376.4,    220545.2,    287814.9,    129226.9
   9014.807555, 1.550,   339.0,    114748.5,    315058.1,    305487.7,    215080.1,    279625.6,    125849.0
   9014.809230, 1.554,   323.0,    111043.5,    302529.9,    292484.6,    206909.2,    269228.9,    120717.9
   9014.810909, 1.559,   310.0,    116288.4,    317898.7,    307742.4,    217011.1,    282886.6,    124964.7
   9014.812584, 1.563,   297.0,    121068.2,    330759.7,    320580.7,    227200.4,    292217.4,    132482.1
   9014.814261, 1.567,   286.0,    117573.8,    320354.7,    311092.2,    218901.6,    284983.4,    127983.9
   9014.815940, 1.572,   272.0,    120356.4,    331165.6,    319963.7,    225728.6,    292815.9,    131134.8
   9014.817614, 1.576,   260.0,    121783.8,    333246.1,    322897.3,    228541.2,    295597.7,    132644.8
   9014.819290, 1.581,   255.0,    121043.5,    330191.6,    321138.8,    227118.7,    294586.1,    131785.5
   9014.820968, 1.586,   247.0,    122876.2,    334903.2,    323638.0,    227838.1,    294523.8,    132799.4
   9014.822645, 1.590,   237.0,    117034.8,    318333.2,    305870.6,    217095.7,    282522.6,    127672.7
   9014.824322, 1.595,   235.0,    107385.4,    292123.9,    280089.0,    199533.4,    259201.4,    116913.9
   9014.826015, 1.600,   230.0,    116140.4,    315264.6,    306335.2,    215119.0,    279477.1,    126020.6
   9014.827689, 1.605,   228.0,    113348.6,    308244.2,    298609.2,    211911.5,    274551.4,    123366.1
   9014.829372, 1.610,   223.0,    115633.9,    316422.9,    305857.2,    215514.4,    280198.2,    125861.7
   9014.831047, 1.615,   230.0,    114293.1,    312920.6,    303675.0,    213181.9,    277269.8,    124349.3
   9014.834367, 1.625,   225.0,    112664.9,    306926.7,    296839.9,    209097.8,    271164.5,    122277.2
   9014.836042, 1.630,   220.0,    113416.1,    311231.2,    300438.3,    212664.8,    274720.2,    123935.6
